player_name,transfer_value
Jan Bednarek,"€11.00m
Last update: Dec 16, 2024"
Jan Paul van Hecke,"€32.00m
Last update: Dec 16, 2024"
Jannik Vestergaard,"€3.00m
Last update: Dec 16, 2024"
Jarrad Branthwaite,€50.00m
Jarrod Bowen,"€45.00m
Last update: Dec 16, 2024"
Jean-Clair Todibo,"€28.00m
Last update: Mar 18, 2025"
Jean-Philippe Mateta,"€30.00m
Last update: Mar 18, 2025"
Jean-Ricner Bellegarde,€18.00m
Jefferson Lerma,€12.00m
Jens Cajuste,€12.00m
Jeremy Doku,"€55.00m
Last update: Mar 18, 2025"
Jesper Lindstrøm,"€20.00m
Last update: Dec 16, 2024"
Joachim Andersen,€32.00m
Joe Aribo,"€6.00m
Last update: Dec 16, 2024"
Joelinton,"€40.00m
Last update: Dec 16, 2024"
John McGinn,€18.00m
Jordan Ayew,"€3.50m
Last update: Dec 16, 2024"
Jordan Pickford,€20.00m
Joshua Zirkzee,"€35.00m
Last update: Mar 18, 2025"
José Sá,N/a
João Gomes,€40.00m
João Pedro,"€18.00m
Last update: Dec 13, 2024"
Joël Veltman,"€7.00m
Last update: Dec 16, 2024"
Joško Gvardiol,"€75.00m
Last update: Dec 16, 2024"
Jurriën Timber,€50.00m
Justin Kluivert,"€35.00m
Last update: Mar 18, 2025"
Jørgen Strand Larsen,€27.00m
Kai Havertz,"€70.00m
Last update: Mar 18, 2025"
Kalvin Phillips,"€15.00m
Last update: Mar 18, 2025"
Kamaldeen Sulemana,"€13.00m
Last update: Dec 16, 2024"
Kaoru Mitoma,€45.00m
Keane Lewis-Potter,€23.00m
Kenny Tete,"€15.00m
Last update: Dec 16, 2024"
Kepa Arrizabalaga,"€11.00m
Last update: Dec 16, 2024"
Kevin De Bruyne,"€27.00m
Last update: Mar 18, 2025"
Kevin Schade,"€27.00m
Last update: Mar 18, 2025"
Kieran Trippier,"€5.00m
Last update: Mar 18, 2025"
Kobbie Mainoo,"€55.00m
Last update: Dec 16, 2024"
Konstantinos Mavropanos,€17.00m
Kristoffer Ajer,"€18.00m
Last update: Dec 16, 2024"
Kyle Walker,"€6.00m
Last update: Mar 25, 2025"
Kyle Walker-Peters,€18.00m
Leandro Trossard,"€30.00m
Last update: Dec 16, 2024"
Leif Davis,€25.00m
Leny Yoro,€55.00m
Leon Bailey,"€32.00m
Last update: Mar 18, 2025"
Lesley Ugochukwu,"€20.00m
Last update: Mar 18, 2025"
Levi Colwill,"€55.00m
Last update: Dec 16, 2024"
Lewis Cook,"€15.00m
Last update: Mar 18, 2025"
Lewis Dunk,"€8.00m
Last update: Mar 18, 2025"
Lewis Hall,"€30.00m
Last update: Mar 18, 2025"
Liam Delap,€35.00m
Lisandro Martínez,€45.00m
Lucas Bergvall,"€25.00m
Last update: Mar 18, 2025"
Lucas Digne,"€12.00m
Last update: Dec 16, 2024"
Lucas Paquetá,"€35.00m
Last update: Mar 18, 2025"
Luis Díaz,€85.00m
Luke Woolfenden,"€2.00m
Last update: Dec 16, 2024"
Mads Hermansen,"€15.00m
Last update: Mar 18, 2025"
Mads Roerslev,"€8.00m
Last update: Mar 27, 2025"
Malo Gusto,€35.00m
Manuel Akanji,"€32.00m
Last update: Mar 18, 2025"
Manuel Ugarte Ribeiro,"€50.00m
Last update: Dec 16, 2024"
Marc Cucurella,"€30.00m
Last update: Dec 16, 2024"
Marc Guéhi,"€45.00m
Last update: Dec 16, 2024"
Marcos Senesi,"€24.00m
Last update: Dec 16, 2024"
Marcus Rashford,€50.00m
Marcus Tavernier,€20.00m
Mario Lemina,€7.50m
Mark Flekken,€10.00m
Martin Ødegaard,€100.00m
Mateo Kovačić,"€25.00m
Last update: Mar 18, 2025"
Mateus Fernandes,€15.00m
Matheus Cunha,"€55.00m
Last update: Mar 18, 2025"
Matheus Nunes,"€35.00m
Last update: Mar 18, 2025"
Matt Doherty,"€2.50m
Last update: Dec 16, 2024"
Matthijs de Ligt,€40.00m
Matty Cash,"€28.00m
Last update: Dec 16, 2024"
Matz Sels,"€7.00m
Last update: Dec 16, 2024"
Max Kilman,"€30.00m
Last update: Mar 18, 2025"
Maxence Lacroix,€22.00m
